country,city,total_rows,unique_hotels
United Kingdom,Greater London,795,795
Italy,Milano,712,712
France,Paris,692,692
Italy,Napoli,650,650
Thailand,Bangkok,639,639
Italy,Roma,613,613
South Africa,Cape Town,597,597
Poland,Warszawa,588,588
Austria,Wien,587,587
United Arab Emirates,Dubai,575,575
Spain,Sevilla,568,568
Spain,Barcelona,548,548
United States,Miami,532,532
Poland,Kraków,531,531
Spain,Málaga,531,531
Italy,Bologna,509,509
Portugal,Porto,508,508
Portugal,Lisboa,494,494
Spain,Madrid,494,494
Italy,Firenze,492,492
Italy,Torino,482,482
Nigeria,Lagos,462,462
Malaysia,Kuala Lumpur,460,460
Nigeria,Abuja,424,424
Germany,Berlin,400,400
South Korea,Seoul,396,396
Brazil,Rio de Janeiro,386,386
Singapore,Singapore,381,381
Argentina,Buenos Aires,370,370
Czech Republic,Hlavní město Praha,351,351
Mexico,Cancún,345,345
Hungary,Budapest,343,343
Brazil,São Paulo,332,332
United Kingdom,London,331,331
United States,Los Angeles,316,316
South Africa,Johannesburg,288,288
Canada,Toronto,286,286
South Africa,Sandton,272,272
Finland,Helsinki,271,271
Mexico,Ciudad de México,256,256
Japan,Osaka,255,255
Germany,Hamburg,242,242
Italy,Venezia,238,238
Japan,Kyoto,237,237
United States,Chicago,228,228
Thailand,Phuket,221,221
Australia,Melbourne,210,210
Italy,Palermo,205,205
Mexico,Mexico City,202,202
France,Nice,200,200
Rwanda,Kigali,200,200
Italy,Verona,198,198
Kenya,Nairobi,196,196
France,Toulouse,195,195
Senegal,Dakar,194,194
United Arab Emirates,Abu Dhabi,193,193
Italy,Pisa,192,192
France,Cannes,191,191
Japan,大阪市,191,191
Spain,Granada,190,190
Germany,München,188,188
Morocco,Marrakech,188,188
United States,Houston,188,188
France,Rouen,186,186
Ghana,Accra,184,184
Italy,Genova,184,184
Germany,Dresden,180,180
Kenya,Mombasa,178,178
Portugal,Faro,178,178
Spain,València,178,178
Spain,Córdoba,177,177
France,Avignon,176,176
United States,Atlanta,176,176
France,Strasbourg,174,174
Germany,Köln,174,174
United Kingdom,Cardiff,174,174
France,Lyon,173,173
South Africa,Pretoria,173,173
France,Montpellier,172,172
Morocco,Casablanca,172,172
